Input Token,Output Token,Input Amount,Uniswap Return,Kyber Expected Rate,Kyber Min Return,Timestamp
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:11-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:12-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:12-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:12-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:14-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:14-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:14-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:14-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:17-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:17-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:17-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:17-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:20-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:20-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:20-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:20-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:23-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:23-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:23-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:23-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:26-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:26-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:26-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:26-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:29-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:29-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:29-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:29-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:32-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:32-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:32-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:32-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:35-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:35-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:35-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:35-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:38-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:38-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:38-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:39-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:41-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:41-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:41-06:00
